name  ,operation  ,dod  , age  ,unit  ,cod  
"Andrews, Master Sgt. Evander E.",Enduring Freedom,10/10/01,36,"366th Civil Engineering Squad, Mountain Home AFB, ID",non-combat
"Edmunds, Spec. John J.",Enduring Freedom,10/19/01,20,"3rd Battalion, 75th Ranger Regiment, Fort Benning, GA",helicopter accident
"Stonesifer, Pfc. Kristofor T.",Enduring Freedom,10/19/01,28,"3rd Battalion, 75th Ranger Regiment, Fort Benning, GA",helicopter accident
"Davis, Machinist's Mate Fireman Apprentice Bryant L.",Enduring Freedom,11/7/01,20,"stationed on the carrier Kitty Hawk, home-ported at Yokosuka Naval Fleet Activities, Japan",non-combat
"Johnson, Petty Officer 3rd Class Benjamin",Enduring Freedom,11/18/01,21,"based at Norfolk Naval Station, VA",non-combat
"Parker, Engineman 1st Class Vincent",Enduring Freedom,11/18/01,38,"Norfolk Naval Station, VA",non-combat
"Maria, Pvt. Giovanny",Enduring Freedom,11/29/01,19,"10th Mountain Division, Fort Drum NY",non-combat
"Jakes, Electrician's mate Fireman Apprentice Michael J.",Enduring Freedom,12/4/01,20,"stationed on the carrier Kitty Hawk, based at Yokosuka Naval Fleet Activities, Japan",non-combat
"Davis, Master Sgt. Jefferson Donald",Enduring Freedom,12/5/01,39,"3rd Battalion, 5th Special Forces Group, Ft. Campbell, KY",non-combat
"Petithory, Sgt. 1st Class Daniel Henry",Enduring Freedom,12/5/01,32,"3rd Battalion, 5th Special Forces Group, Ft. Campbell, KY",hostile action
"Prosser, Staff Sgt. Brian Cody",Enduring Freedom,12/5/01,28,"3rd Battalion, 5th Special Forces Group, Ft. Campbell, KY",hostile action
"Chapman, Sgt. 1st Class Nathan Ross",Enduring Freedom,1/4/02,31,"3rd Battalion, 1st Special Forces Group, Fort Lewis, WA",hostile action
"Bancroft, Capt. Matthew W.",Enduring Freedom,1/9/02,29,"Marine Aerial Refueler Transport Squardron 352 (VMGR-352), Marine Corps Air Station, Miramar, CA",airplane crash
"Bertrand, Lance Cpl. Bryan P.",Enduring Freedom,1/9/02,23,"Marine Aerial Refueler Transport Squadron 352 (VMGR-352), Marine Corps Air Station, Miramar, CA",airplane crash
"Bryson, Gunnery Sgt. Stephen L.",Enduring Freedom,1/9/02,36,"Marine Aerial Refueler Transport Squadron 352 (VMGR-352), Marine Corps Air Station, Miramar, CA",airplane crash
"Germosen, Staff Sgt. Scott N.",Enduring Freedom,1/9/02,37,"Marine Aerial Refueler Transport Squadron 352 (VMGR-352), Marine Corps Air Station, Miramar, CA",airplane crash
"Hays, Sgt. Nathan P.",Enduring Freedom,1/9/02,21,"Marine Aerial Refueler Transport Squadron 352 (VMGR-352), Marine Corps Air Station, Miramar, CA",airplane crash
"McCollum, Capt. Daniel G..",Enduring Freedom,1/9/02,29,"Marine Aerial Refueler Transport Squadron 352 (VMGR-352), Marine Corps Air Station, Miramar, CA",airplane crash
"Winters, Sgt. Jeannette L.",Enduring Freedom,1/9/02,25,"Marine Aerial Refueler Transport Squadron 352 (VMGR-352), Marine Corps Air Station, Miramar, CA",airplane crash
"Cohee III, Staff Sgt. Walter F.",Enduring Freedom,1/19/02,26,"Marine Heavy Helicopter Squadron 361 (HMH-361) of Marine Aircraft Group 16, 3rd Marine Aircraft Wing, Marine Corps Air Station, Miramar, CA",helicopter accident
"Morgan, Staff Sgt. Dwight J.",Enduring Freedom,1/19/02,24,"Marine Heavy Helicopter Squadron 361 (HMH-361) of Marine Aircraft Group 16, 3rd Marine Aircraft wing, Marine Corps Air Station, Miramar, CA",helicopter accident
"Disney, Spec. Jason A.",Enduring Freedom,2/13/02,21,"7th Transportation Battalion, Ft. Bragg, NC",non-combat
"Allison, Spec. Thomas F.",Enduring Freedom,2/21/02,22,"E Co, 160th Special Operations Aviation Regiment, based at Fort Campbell, Ky",helicopter accident
"Dorrity, Staff Sgt. James P.",Enduring Freedom,2/21/02,37,"160th Special Operations Aviation Regiment, Ft. Campbell, KY",non-combat
"Egnor, Chief Warrant Officer 2 Jody L.",Enduring Freedom,2/21/02,32,"160th Special Operations Aviation Regiment, Ft. Campbell, KY",helicopter accident
"Feistner, Maj. Curtis D.",Enduring Freedom,2/21/02,34,"E Co, 160th Special Operations Aviation Regiment, based at Fort Campbell, Ky",helicopter accident
"Foshee, Sgt. Jeremy D.",Enduring Freedom,2/21/02,25,"E Co, 160th Special Operations Aviation Regiment, based at Fort Campbell, Ky",non-combat
"Frith, Staff Sgt. Kerry W.",Enduring Freedom,2/21/02,37,"E Co, 160th Special Operations Aviation Regiment, based at Fort Campbell, KY",helicopter accident
"McDaniel II, Master Sgt. William L.",Enduring Freedom,2/21/02,36,"353rd Special Operations Group, Kadena Air Base, Japan",helicopter accident
"Owens, Capt. Bartt D.",Enduring Freedom,2/21/02,31,"E Co, 160th Special Operations Aviation Regiment, based at Fort Campbell, Ky",helicopter accident
"Ridout, Staff Sgt. Juan M.",Enduring Freedom,2/21/02,29,"353rd Special Operations Group, Kadena Air Base, Japan",helicopter accident
"Rushforth Jr., Staff Sgt. Bruce A.",Enduring Freedom,2/21/02,35,"E Co, 160th Special Operations Aviation Regiment, based at Fort Campbell, Ky",non-combat
"Carter, Spec. Curtis A.",Enduring Freedom,2/27/02,25,"3rd Battalion, 8th Cavalry Regiment, part of the 1st Cavalry Division",non-combat
"Harriman, Chief Warrant Officer Stanley L.",Enduring Freedom,3/2/02,34,"3rd Special Forces Group, Ft. Bragg, NC",non-combat
"Anderson, Spec. Marc A.",Enduring Freedom,3/4/02,30,"1st Battalion, 75th Ranger Regiment, Fort Stewart, Ga",hostile action
"Chapman, Tech. Sgt. John A.",Enduring Freedom,3/4/02,36,"24th Special Tactics Squadron, Pope Air Force Base, N.C.",hostile action
"Commons, Pfc. Matthew A.",Enduring Freedom,3/4/02,21,"1st Battalion, 75th Ranger Regiment, Fort Stewart, Ga",hostile action
"Crose, Sgt. Bradley S.",Enduring Freedom,3/4/02,27,"Battalion, 75th Ranger Regiment, Fort Stewart, Ga.",hostile action
"Cunningham, Sr. Airman Jason D.",Enduring Freedom,3/4/02,26,"38th Rescue Squadron, Moody Air Force Base, Ga",hostile action
"Roberts, Petty Officer 1st Class Neil C.",Enduring Freedom,3/4/02,32,"assigned to SEAL Team 2, Norfolk, Va",hostile action
"Svitak, Sgt. Philip J.",Enduring Freedom,3/4/02,31,"2nd Battalion, 160th Special Operations Regiment, Fort Campbell, Ky.",hostile action
"Bourgeois, Chief Petty Officer Matthew J.",Enduring Freedom,3/27/02,35,"Navy SEAL assigned to Little Creek Naval Amphibious Base, Va.",hostile action
"Craig, Staff Sgt. Brian T.",Enduring Freedom,4/15/02,27,"710th Explosive Ordnance Detachment, San Diego, CA",hostile action
"Galewski, Staff Sgt. Justin J.",Enduring Freedom,4/15/02,28,"710th Explosive Ordnance Detachment, San Diego, CA",hostile action
"Maugans, Sgt. Jamie O.",Enduring Freedom,4/15/02,27,"710th Explosive Ordnance Detachment, San Diego, CA",hostile action
"Romero, Sgt. 1st Class Daniel A.",Enduring Freedom,4/15/02,30,"19th Special Forces Group, Pueblo, CO",hostile action
"Grady, Seaman Katrina R.",Enduring Freedom,4/18/02,29,USS PORT ROYAL,
"Vance Jr., Sgt. Gene Arden",Enduring Freedom,5/19/02,38,"19th Special Forces Group, West Virgina National Guard",hostile action
"Corlew, Tech. Sgt. Sean M.",Enduring Freedom,6/12/02,37,"16th Special Operations Wing, Hurlburt Field, FL",airplane crash
"Shero, Staff Sgt. Anissa A.",Enduring Freedom,6/12/02,31,"16th Special Operations Wing, Hurlburt Field, FL",airplane crash
"Tycz II, Sgt. 1st Class Peter P.",Enduring Freedom,6/12/02,32,"3rd Special Forces Group, Ft. Bragg, NC",airplane crash
"Speer, Sgt. 1st Class Christopher James",Enduring Freedom,8/7/02,28,"Headquarters U.S. Army Special Operations Command, Ft. Bragg, NC",hostile action
"Foraker, Sgt. Ryan D.",Enduring Freedom,9/24/02,31,"342nd Military Police Company, U.S. Army Reserve, Columbus, OH",other-unknown
"Jackson, Sgt. 1st Class Mark Wayne",Enduring Freedom,10/2/02,40,"1st Special Forces Group, Ft. Lewis, WA",hostile action
"Sledd, Lance Cpl. Antonio J.",Enduring Freedom,10/8/02,20,"Lima Company, 3rd Battalion, 1st Marines, 11th Marine Expeditionary Unit, Camp Pendleton, CA",hostile action
"Ebbers, Pvt. James H.",Enduring Freedom,10/14/02,19,551st Military Police Command,non-combat
"Pope II, Ens. Jerry O.",Enduring Freedom,10/16/02,35,"Naval Medical Clinic, Quantico, Va.",vehicle accident
"Robinson, Lt. Cmdr. Thomas L.",Enduring Freedom,10/22/02,38,USS Paul Hamilton (DDG-60),non-combat
"Pena-Suarez, Spec. Pedro",Enduring Freedom,11/7/02,34,"3rd Infantry Division's 1st Battalion, 64th Armor Regiment",non-combat
"Checo, Sgt. Steven",Enduring Freedom,12/20/02,22,"504th Infantry, Ft. Bragg, NC",hostile action
"Frampton, Sgt. Gregory M.",Enduring Freedom,1/30/03,37,"1st Battalion, 160th Special Operations Aviation Regiment, Fort Campbell, Ky",helicopter accident
"Gibbons, Chief Warrant Officer Thomas J.",Enduring Freedom,1/30/03,31,"1st Battalion, 160th Special Operations Aviation Regiment, Fort Campbell, Ky",helicopter accident
"Kisling, Staff Sgt. Daniel L.",Enduring Freedom,1/30/03,31,"1st Battalion, 160th Special Operations Aviation Regiment, Fort Campbell, Ky",helicopter accident
"O'Steen, Chief Warrant Officer Mark S.",Enduring Freedom,1/30/03,43,"1st Battalion, 160th Special Operations Aviation Regiment, Fort Campbell, Ky",helicopter accident
"Barry, Sgt. Michael C.",Enduring Freedom,2/1/03,29,"205th Medical Battalion, Missouri Army National Gurad, Kansas City, MO",vehicle accident
"Clemens, Spec. Brian M.",Enduring Freedom,2/6/03,19,"C Company, 1-293rd Infantry, Ft. Wayne, IN",vehicle accident
"Gonzalez-Garza, Spec. Rodrigo",Enduring Freedom,2/24/03,26,"158th Aviation Regiment, 5th Battalion, of the 12th Aviation Brigade based in Giebelstadt, Germany. The group is attached to V Corps' 11th Attack Helicopter Regiment",helicopter accident
"Moehling, Chief Warrant Officer Timothy W.",Enduring Freedom,2/24/03,35,"158th Aviation Regiment, 5th Battalion, of the 12th Aviation Brigade based in Giebelstadt, Germany. The group is attached to V Corps' 11th Attack Helicopter Regiment",helicopter accident
"Smith, Chief Warrant Officer John D.",Enduring Freedom,2/24/03,32,"158th Aviation Regiment, 5th Battalion, of the 12th Aviation Brigade based in Giebelstadt, Germany. The group is attached to V Corps' 11th Attack Helicopter Regiment",helicopter accident
"Tracy, Spec. William J.",Enduring Freedom,2/24/03,27,"158th Aviation Regiment, 5th Battalion, of the 12th Aviation Brigade based in Giebelstadt, Germany. The group is attached to V Corps' 11th Attack Helicopter Regiment",helicopter accident
"McNeil, Pfc. Spence A.",Enduring Freedom,3/8/03,19,"B Battery, 3-43rd Air Defense Artillery, Ft. Bliss, TX",vehicle accident
