created,id,option__id,option__key,option__value,option__vote,person__bioguideid,person__birthday,person__cspanid,person__firstname,person__gender,person__gender_label,person__id,person__lastname,person__link,person__middlename,person__name,person__namemod,person__nickname,person__osid,person__pvsid,person__sortname,person__twitterid,person__youtubeid,vote__category,vote__category_label,vote__chamber,vote__chamber_label,vote__congress,vote__created,vote__id,vote__link,vote__missing_data,vote__number,vote__question,vote__question_details,vote__related_amendment,vote__related_bill,vote__required,vote__result,vote__session,vote__source,vote__source_label,vote__total_minus,vote__total_other,vote__total_plus,vote__vote_type,voter_type,voter_type_label
2013-09-29T00:16:00,29862518,436877,+,Yea,113830,A000055,7/22/65,45516,Robert,male,Male,400004,Aderholt,https://www.govtrack.us/congress/members/robert_aderholt/400004,B.,Rep. Robert Aderholt [R-AL4],,,N00003028,441,"Aderholt, Robert (Rep.) [R-AL4]",Robert_Aderholt,RobertAderholt,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862749,436878,-,Nay,113830,A000210,8/4/57,19670,Robert,male,Male,400008,Andrews,https://www.govtrack.us/congress/members/robert_andrews/400008,E.,Rep. Robert â€œRobâ€ù Andrews [D-NJ1],,Rob,N00000826,26949,"Andrews, Robert â€œRobâ€ù (Rep.) [D-NJ1]",,,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862522,436877,+,Yea,113830,B000013,12/28/47,26397,Spencer,male,Male,400010,Bachus,https://www.govtrack.us/congress/members/spencer_bachus/400010,Thomas,Rep. Spencer Bachus [R-AL6],III,,N00008091,26715,"Bachus, Spencer (Rep.) [R-AL6]",BachusAL06,congressmanbachus,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862525,436877,+,Yea,113830,B000213,9/15/49,5248,Joe,male,Male,400018,Barton,https://www.govtrack.us/congress/members/joe_barton/400018,Linus,Rep. Joe Barton [R-TX6],,,N00005656,27082,"Barton, Joe (Rep.) [R-TX6]",RepJoeBarton,repjoebarton,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862754,436878,-,Nay,113830,B000287,1/26/58,26567,Xavier,male,Male,400021,Becerra,https://www.govtrack.us/congress/members/xavier_becerra/400021,,Rep. Xavier Becerra [D-CA34],,,N00009774,26754,"Becerra, Xavier (Rep.) [D-CA34]",repbecerra,XavierBecerra,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862529,436877,+,Yea,113830,B001250,7/13/51,1003621,Rob,male,Male,400029,Bishop,https://www.govtrack.us/congress/members/rob_bishop/400029,,Rep. Rob Bishop [R-UT1],,,N00025292,50544,"Bishop, Rob (Rep.) [R-UT1]",RepRobBishop,CongressmanBishop,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862756,436878,-,Nay,113830,B000490,2/4/47,26194,Sanford,male,Male,400030,Bishop,https://www.govtrack.us/congress/members/sanford_bishop/400030,D.,Rep. Sanford Bishop [D-GA2],Jr.,,N00002674,26817,"Bishop, Sanford (Rep.) [D-GA2]",SanfordBishop,RepSanfordBishop,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862757,436878,-,Nay,113830,B001242,6/1/50,1003587,Timothy,male,Male,400031,Bishop,https://www.govtrack.us/congress/members/timothy_bishop/400031,H.,Rep. Timothy Bishop [D-NY1],,,N00025413,44518,"Bishop, Timothy (Rep.) [D-NY1]",timbishopny,timbishop01,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862531,436877,+,Yea,113830,B001243,6/6/52,31226,Marsha,female,Female,400032,Blackburn,https://www.govtrack.us/congress/members/marsha_blackburn/400032,W.,Rep. Marsha Blackburn [R-TN7],,,N00003105,25186,"Blackburn, Marsha (Rep.) [R-TN7]",MarshaBlackburn,RepMarshaBlackburn,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862758,436878,-,Nay,113830,B000574,8/16/48,43809,Earl,male,Male,400033,Blumenauer,https://www.govtrack.us/congress/members/earl_blumenauer/400033,,Rep. Earl Blumenauer [D-OR3],,,N00007727,367,"Blumenauer, Earl (Rep.) [D-OR3]",blumenauermedia,RepBlumenauer,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862533,436877,+,Yea,113830,B000755,4/11/55,45749,Kevin,male,Male,400046,Brady,https://www.govtrack.us/congress/members/kevin_brady/400046,P.,Rep. Kevin Brady [R-TX8],,,N00005883,361,"Brady, Kevin (Rep.) [R-TX8]",RepKevinBrady,KBrady8,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862760,436878,-,Nay,113830,B001227,4/7/45,55227,Robert,male,Male,400047,Brady,https://www.govtrack.us/congress/members/robert_brady/400047,A.,Rep. Robert Brady [D-PA1],,,N00001619,2519,"Brady, Robert (Rep.) [D-PA1]",RepBrady,BradyPA01,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862762,436878,-,Nay,113830,B000911,11/11/46,26192,Corrine,female,Female,400048,Brown,https://www.govtrack.us/congress/members/corrine_brown/400048,,Rep. Corrine Brown [D-FL5],,,N00002713,26797,"Brown, Corrine (Rep.) [D-FL5]",RepCorrineBrown,CongresswomanBrown,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862540,436877,+,Yea,113830,B001248,12/23/50,1003620,Michael,male,Male,400052,Burgess,https://www.govtrack.us/congress/members/michael_burgess/400052,C.,Rep. Michael Burgess [R-TX26],,,N00025219,50120,"Burgess, Michael (Rep.) [R-TX26]",michaelcburgess,michaelcburgessmd,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862541,436877,+,Yea,113830,C000059,6/8/53,26709,Ken,male,Male,400057,Calvert,https://www.govtrack.us/congress/members/ken_calvert/400057,S.,Rep. Ken Calvert [R-CA42],,,N00007099,26777,"Calvert, Ken (Rep.) [R-CA42]",KenCalvert,RepKenCalvert,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
2013-09-29T00:16:00,29862542,436877,+,Yea,113830,C000071,7/9/53,23039,Dave,male,Male,400058,Camp,https://www.govtrack.us/congress/members/dave_camp/400058,Lee,Rep. Dave Camp [R-MI4],,,N00008086,26911,"Camp, Dave (Rep.) [R-MI4]",RepDaveCamp,DaveCampYT,unknown,Unknown Category,house,House,113,2013-09-29T00:16:00,113830,https://www.govtrack.us/congress/votes/113-2013/h498,FALSE,498,"On concurring in the Senate amendment with amendment # 2: H.J.Res. 59: Continuing Appropriations Resolution, 2014",,,329930,2-Jan,Passed,2013,house,house.gov,192,8,231,On concurring in the Senate amendment with amendment # 2,member,Member of Congress
