id,state,district,vote,name,party
400004,AL,4,Yea,Robert Aderholt,Republican
400008,NJ,1,Nay,Robert â€œRobâ€ù Andrews,Democrat
400010,AL,6,Yea,Spencer Bachus III,Republican
400018,TX,6,Yea,Joe Barton,Republican
400021,CA,34,Nay,Xavier Becerra,Democrat
400029,UT,1,Yea,Rob Bishop,Republican
400030,GA,2,Nay,Sanford Bishop Jr.,Democrat
400031,NY,1,Nay,Timothy Bishop,Democrat
400032,TN,7,Yea,Marsha Blackburn,Republican
400033,OR,3,Nay,Earl Blumenauer,Democrat
400046,TX,8,Yea,Kevin Brady,Republican
400047,PA,1,Nay,Robert Brady,Democrat
400048,FL,5,Nay,Corrine Brown,Democrat
400052,TX,26,Yea,Michael Burgess,Republican
400057,CA,42,Yea,Ken Calvert,Republican
400058,MI,4,Yea,Dave Camp,Republican
400060,VA,7,Yea,Eric Cantor,Republican
400061,WV,2,Yea,Shelley Capito,Republican
400062,CA,24,Nay,Lois Capps,Democrat
400063,MA,7,Nay,Michael Capuano,Democrat
400068,TX,31,Yea,John Carter,Republican
400071,OH,1,Yea,Steve Chabot,Republican
400074,MO,1,Nay,Lacy Clay Jr.,Democrat
400075,SC,6,Nay,James â€œJimâ€ù Clyburn,Democrat
400076,NC,6,Yea,Howard Coble,Republican
400077,OK,4,Yea,Tom Cole,Republican
400080,MI,13,Nay,John Conyers Jr.,Democrat
400081,TN,5,Nay,Jim Cooper,Democrat
400086,FL,4,Yea,Ander Crenshaw,Republican
400087,NY,14,Nay,Joseph Crowley,Democrat
400089,TX,7,Yea,John Culberson,Republican
400090,MD,7,Nay,Elijah Cummings,Democrat
400093,IL,7,Nay,Danny Davis,Democrat
400097,CA,53,Not Voting,Susan Davis,Democrat
400100,OR,4,Nay,Peter DeFazio,Democrat
400101,CO,1,Nay,Diana DeGette,Democrat
400103,CT,3,Nay,Rosa DeLauro,Democrat
400108,FL,25,Yea,Mario Diaz-Balart,Republican
400110,MI,12,Nay,John Dingell,Democrat
400111,TX,35,Nay,Lloyd Doggett,Democrat
400114,PA,14,Nay,Michael â€œMikeâ€ù Doyle Jr.,Democrat
400116,TN,2,Yea,John â€œJimmyâ€ù Duncan Jr.,Republican
400122,NY,16,Nay,Eliot Engel,Democrat
400124,CA,18,Nay,Anna Eshoo,Democrat
400129,CA,20,Nay,Sam Farr,Democrat
400130,PA,2,Nay,Chaka Fattah,Democrat
400137,VA,4,Yea,Randy Forbes,Republican
400141,AZ,8,Yea,Trent Franks,Republican
400142,NJ,11,Yea,Rodney Frelinghuysen,Republican
400145,NJ,5,Yea,Scott Garrett,Republican
400147,PA,6,Yea,Jim Gerlach,Republican
400151,GA,11,Yea,Phil Gingrey,Republican
400154,VA,6,Yea,Bob Goodlatte,Republican
400157,TX,12,Yea,Kay Granger,Republican
400158,MO,6,Yea,Sam Graves,Republican
400160,TX,29,Nay,Gene Green,Democrat
400162,AZ,3,Nay,RaÃºl Grijalva,Democrat
400163,IL,4,Nay,Luis GutiÃ©rrez,Democrat
400165,TX,4,Yea,Ralph Hall,Republican
400170,FL,20,Nay,Alcee Hastings,Democrat
400171,WA,4,Yea,Doc Hastings,Republican
400175,TX,5,Yea,Jeb Hensarling,Republican
400179,TX,15,Nay,RubÃ©n Hinojosa,Democrat
400184,NJ,12,Not Voting,Rush Holt,Democrat
400185,CA,17,Nay,Michael â€œMikeâ€ù Honda,Democrat
400189,MD,5,Nay,Steny Hoyer,Democrat
400195,NY,3,Nay,Steve Israel,Democrat
400196,CA,49,Yea,Darrell Issa,Republican
400199,TX,18,Nay,Sheila Jackson Lee,Democrat
400204,TX,30,Nay,Eddie Johnson,Democrat
400206,TX,3,Yea,Sam Johnson,Republican
400209,NC,3,Yea,Walter Jones Jr.,Republican
400211,OH,9,Nay,Marcy Kaptur,Democrat
400218,WI,3,Nay,Ron Kind,Democrat
400219,NY,2,Yea,Peter â€œPeteâ€ù King,Republican
400220,IA,4,Yea,Steve King,Republican
400221,GA,1,Yea,Jack Kingston,Republican
400224,MN,2,Yea,John Kline,Republican
400230,RI,2,Nay,James â€œJimâ€ù Langevin,Democrat
400232,WA,2,Nay,Rick Larsen,Democrat
400233,CT,1,Nay,John Larson,Democrat
400234,IA,3,Yea,Tom Latham,Republican
400237,CA,13,Nay,Barbara Lee,Democrat
400238,MI,9,Nay,Sander Levin,Democrat
400240,GA,5,Nay,John Lewis,Democrat
400244,NJ,2,Yea,Frank LoBiondo,Republican
